Role,,Company_Type,Industry,,Location_Tier,Experience_Level,Job_Type,,Salary_LPA,Skills_Required,Education_Required
Android Developer,,MNC,Information Technology,,Remote,Senior (6-10 yrs),Full-Time,,30.9,"Kotlin, Java, REST APIs",M.Tech/M.E.
QA Engineer,,Indian Unicorn,Information Technology,,Tier 2,Senior (6-10 yrs),Full-Time,,58.6,"Selenium, Manual Testing, Postman, API Testing, Python",B.Tech/B.E.
Business Analyst,,PSU/Govt,EdTech,,Remote,Senior (6-10 yrs),Full-Time,,18.4,"JIRA, Excel, Power BI",MCA
Cybersecurity Analyst,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Full-Time,,21.7,"Penetration Testing, Python, Ethical Hacking, SIEM, Network Security",BCA
Python Developer,,MNC,EdTech,,Remote,Junior (1-3 yrs),Full-Time,,8,"Docker, REST APIs, AWS, PostgreSQL",MCA
Backend Developer,,Indian Unicorn,Information Technology,,Tier 2,Junior (1-3 yrs),Part-Time,,10.5,"Java, Docker, MongoDB",B.Tech/B.E.
Power BI Developer,,Indian Unicorn,Banking & Finance,,Remote,Mid (3-6 yrs),Full-Time,,18,"Power BI, SQL, Excel, DAX, Data Modeling",MCA
Business Analyst,,MNC,Information Technology,,Tier 1,Junior (1-3 yrs),Full-Time,,11.7,"Agile, Power BI, Requirements Gathering",MCA
Java Developer,,MNC,Banking & Finance,,Remote,Fresher (0-1 yr),Full-Time,,5.3,"REST APIs, Hibernate, Maven, Spring Boot",MCA
Technical Lead,,Startup,Media & Entertainment,,Tier 1,Junior (1-3 yrs),Full-Time,,12.2,"Microservices, System Design, Team Leadership, Code Review",M.Tech/M.E.
QA Engineer,,MNC,Information Technology,,Remote,Fresher (0-1 yr),Full-Time,,3.8,"Python, Postman, API Testing, Selenium, JIRA, Manual Testing",B.Tech/B.E.
UI/UX Designer,,Startup,Information Technology,,Tier 1,Mid (3-6 yrs),Internship,,1.5,"Wireframing, Adobe XD, User Research, Prototyping",M.Tech/M.E.
