Role,Company_Type,Industry,Location_Tier,Job_Type,Salary_LPA,Skills_Required,Education_Required,years_avg,post
Android Developer,MNC,Information Technology,Remote,Full-Time,30.9,"Kotlin, Java, REST APIs",M.Tech/M.E.,8,senior
QA Engineer,Indian Unicorn,Information Technology,Tier 2,Full-Time,58.6,"Selenium, Manual Testing, Postman, API Testing, Python",B.Tech/B.E.,8,senior
Business Analyst,PSU/Govt,EdTech,Remote,Full-Time,18.4,"JIRA, Excel, Power BI",MCA,8,senior
Cybersecurity Analyst,Startup,Information Technology,Tier 1,Full-Time,21.7,"Penetration Testing, Python, Ethical Hacking, SIEM, Network Security",BCA,4.5,mid
Python Developer,MNC,EdTech,Remote,Full-Time,8,"Docker, REST APIs, AWS, PostgreSQL",MCA,2,junior
Backend Developer,Indian Unicorn,Information Technology,Tier 2,Part-Time,10.5,"Java, Docker, MongoDB",B.Tech/B.E.,2,junior
Power BI Developer,Indian Unicorn,Banking & Finance,Remote,Full-Time,18,"Power BI, SQL, Excel, DAX, Data Modeling",MCA,4.5,mid
Business Analyst,MNC,Information Technology,Tier 1,Full-Time,11.7,"Agile, Power BI, Requirements Gathering",MCA,2,junior
Java Developer,MNC,Banking & Finance,Remote,Full-Time,5.3,"REST APIs, Hibernate, Maven, Spring Boot",MCA,0.5,fresher
Technical Lead,Startup,Media & Entertainment,Tier 1,Full-Time,12.2,"Microservices, System Design, Team Leadership, Code Review",M.Tech/M.E.,2,junior
QA Engineer,MNC,Information Technology,Remote,Full-Time,3.8,"Python, Postman, API Testing, Selenium, JIRA, Manual Testing",B.Tech/B.E.,0.5,fresher
UI/UX Designer,Startup,Information Technology,Tier 1,Internship,1.5,"Wireframing, Adobe XD, User Research, Prototyping",M.Tech/M.E.,4.5,mid
Data Analyst,PSU/Govt,FinTech,Remote,Full-Time,4.4,"SQL, Tableau, Power BI, Statistics, Excel, Python",B.Tech/B.E.,0.5,fresher
Software Engineer,MNC,Government/PSU,Tier 1,Full-Time,8.3,"Python, Git, REST APIs",M.Tech/M.E.,2,junior
Machine Learning Engineer,PSU/Govt,EdTech,Tier 2,Full-Time,11.6,"Docker, TensorFlow, PyTorch, Scikit-learn",MBA,4.5,mid
Python Developer,MNC,Information Technology,Tier 2,Full-Time,48,"Django, FastAPI, Docker",MBA,10,lead
Power BI Developer,Startup,Information Technology,Remote,Full-Time,10.1,"ETL, Data Modeling, DAX",B.Tech/B.E.,2,junior
QA Engineer,Startup,Information Technology,Tier 1,Full-Time,5.9,"Python, Postman, API Testing, JIRA, Selenium",MCA,0.5,fresher
Data Engineer,Startup,Banking & Finance,Remote,Full-Time,5.7,"Airflow, AWS, Spark, Python, Kafka",B.Sc (CS/IT),0.5,fresher
Software Engineer,PSU/Govt,FinTech,Remote,Full-Time,16.1,"Algorithms, Python, System Design, Java",MBA,8,senior
Java Developer,Indian Unicorn,Information Technology,Remote,Full-Time,13.2,"Microservices, REST APIs, Maven, Hibernate, SQL",B.Tech/B.E.,2,junior
Backend Developer,Indian Unicorn,HealthTech,Tier 1,Internship,2.2,"Django, FastAPI, Node.js, PostgreSQL, Docker, MongoDB",M.Tech/M.E.,2,junior
Software Engineer,Indian Unicorn,E-Commerce,Remote,Full-Time,21.8,"Git, System Design, C++, Algorithms, Python",BCA,4.5,mid
Node.js Developer,Startup,HealthTech,Remote,Full-Time,10.4,"REST APIs, Express.js, TypeScript, MongoDB, Node.js, JavaScript",B.Tech/B.E.,2,junior
Java Developer,Startup,HealthTech,Remote,Full-Time,5.7,"Hibernate, REST APIs, Maven, Spring Boot, Microservices, SQL",MCA,0.5,fresher
Node.js Developer,Startup,E-Commerce,Tier 1,Internship,2.6,"REST APIs, Express.js, TypeScript",M.Tech/M.E.,2,junior
Computer Vision Engineer,Startup,E-Commerce,Remote,Full-Time,11.2,"TensorFlow, YOLO, OpenCV, Deep Learning, PyTorch",MCA,2,junior
Node.js Developer,MNC,FinTech,Tier 1,Full-Time,5.1,"Express.js, REST APIs, JavaScript",M.Tech/M.E.,0.5,fresher
MLOps Engineer,Indian Unicorn,Banking & Finance,Tier 1,Part-Time,55.4,"Airflow, Kubernetes, MLflow, CI/CD",M.Tech/M.E.,8,senior
DevOps Engineer,MNC,Information Technology,Remote,Full-Time,43,"Jenkins, Docker, Ansible, AWS, Linux, CI/CD",M.Tech/M.E.,10,lead
Python Developer,Startup,FinTech,Remote,Full-Time,6.1,"AWS, Python, Django",BCA,0.5,fresher
Product Manager,MNC,Banking & Finance,Tier 1,Full-Time,28,"JIRA, Product Strategy, User Research, Roadmapping",B.Tech/B.E.,8,senior
Technical Lead,MNC,HealthTech,Remote,Internship,2.6,"Team Leadership, Code Review, Agile",B.Tech/B.E.,0.5,fresher
Java Developer,MNC,Logistics,Tier 2,Full-Time,22.7,"Hibernate, SQL, Maven, Microservices, Spring Boot, Java",B.Tech/B.E.,4.5,mid
Data Engineer,Startup,FinTech,Remote,Full-Time,7.4,"Python, SQL, Spark, ETL, AWS",MBA,0.5,fresher
Android Developer,Indian Unicorn,EdTech,Tier 1,Full-Time,14.6,"Jetpack Compose, REST APIs, Android SDK, Java, Firebase",M.Tech/M.E.,2,junior
Frontend Developer,Startup,Automobile,Tier 2,Full-Time,10.1,"React, JavaScript, TypeScript, Tailwind CSS, HTML/CSS",M.Tech/M.E.,2,junior
Data Analyst,MNC,Information Technology,Tier 2,Internship,1.1,"Tableau, Power BI, Excel, SQL, Python, Statistics",B.Tech/B.E.,4.5,mid
Data Analyst,MNC,HealthTech,Remote,Full-Time,58.9,"Data Visualization, Python, Tableau, Statistics",MCA,10,lead
Data Engineer,MNC,Information Technology,Tier 1,Full-Time,17.5,"Python, Airflow, dbt, SQL",M.Tech/M.E.,4.5,mid
QA Engineer,Indian Unicorn,Government/PSU,Tier 1,Full-Time,36.2,"Manual Testing, Python, JIRA, Selenium",M.Tech/M.E.,8,senior
Java Developer,PSU/Govt,EdTech,Tier 1,Full-Time,6.8,"Hibernate, REST APIs, Microservices",M.Tech/M.E.,2,junior
Java Developer,Indian Unicorn,E-Commerce,Remote,Internship,2.1,"Spring Boot, Maven, Hibernate, REST APIs, Java",M.Tech/M.E.,4.5,mid
Full Stack Developer,Startup,FinTech,Tier 2,Full-Time,48,"React, Docker, PostgreSQL, MongoDB, AWS, REST APIs",B.Tech/B.E.,8,senior
Cloud Engineer,MNC,Automobile,Tier 1,Full-Time,8.6,"Kubernetes, Azure, GCP, AWS",BCA,2,junior
